"TreatLab","_TreatLab","Estimate","NImputations","Label","DF","SE","Tvalue","Pvalue","EXP_Est","Low_95PCT","Upp_95PCT"
"100mg","",-5.85844460216023,1000,"4 Seasons: Treat*OnOff BaseCount",417286.813016761,0.0811290074305566,-72.2114664988949,0,0.00285568195168655,0.00243586098897372,0.00334785911269269
"100mg","",-5.82547442512484,1000,"Delta Active double rate off",72723.9374522606,0.0836360287537646,-69.6526904962907,0,0.00295140360014969,0.00250516480156122,0.00347712981020169
"100mg","",-5.83240200423409,1000,"Fixed 0.01 active imputed",150421.91016965,0.0819422363713519,-71.1769932395106,0,0.00293102817589497,0.00249614651909327,0.00344167543939321
"100mg","",-5.86098560343759,1000,"NM_Rand: Treat*OnOff BaseCount",441895.449742312,0.0810791119460352,-72.2872446770082,0,0.00284843487151893,0.00242991700139744,0.0033390363591098
"100mg","",-5.85738830871591,1000,"NM_Reg: Separate for each Treat.",362074.059316571,0.0809328482239518,-72.373435968888,0,0.00285869998349419,0.00243937283716089,0.00335010928675462
"100mg","",-5.85981696386558,1000,"NM_Reg: Treat*OnOff BaseCount",384869.54710372,0.0812365584610419,-72.1327574047309,0,0.00285176561106603,0.00243200759142924,0.00334397274462431
"100mg","",-5.86056591962917,1000,"Repeat 4Season but no Quarter",486232.988003257,0.0809919128285003,-72.3598902033451,0,0.00284963056440275,0.00243135260975254,0.00333986700283873
"100mg","",-5.85798823185905,1000,"Separate each Treat. Shared frai",386162.919740089,0.0812594938852772,-72.0898931530315,0,0.00285698549754612,0.0024363496316831,0.00335024416325258
"100mg","300mg",-0.0879580337806716,1000,"4 Seasons: Treat*OnOff BaseCount",689441.251841169,0.110726022391858,-0.794375449245249,0.426977165710376,0.915799308551544,0.737140010854234,1.13775993867376
"100mg","300mg",-0.0816943449946411,1000,"Delta Active double rate off",107798.767664238,0.113647152535279,-0.718841987433702,0.472239842094198,0.921553593121114,0.737535414757802,1.15148507854816
"100mg","300mg",-0.0831881578986821,1000,"Fixed 0.01 active imputed",516510.665651971,0.110427575066014,-0.753327761195083,0.451253323909778,0.92017799217297,0.741097758112861,1.14253150547317
"100mg","300mg",-0.0900375457000478,1000,"NM_Rand: Treat*OnOff BaseCount",766504.621364191,0.110578407358061,-0.814241657582382,0.415506778177586,0.913896871729249,0.735821597879007,1.13506792212131
